id	filename	md5	size	state
153a6af0-4ad1-4f8c-aa5b-8800f569879e	95eb8568-1adf-4320-bee1-8a5ccd5326c2.rna_seq.augmented_star_gene_counts.tsv	57de79bc5fd20c5bc123314ad14d1bc0	4224670	released
349c9219-bed3-4452-b639-d4ff72cabede	3ca6ea93-08ec-4583-845b-7cd7b9d958fc.rna_seq.augmented_star_gene_counts.tsv	054b9263e0923409a55a9df05a360509	4216316	released
d31c0e7c-9695-4d17-8f91-5ccdba39b36d	1088d4ca-e743-4ac6-a578-533d362d37eb.rna_seq.augmented_star_gene_counts.tsv	cc079d93a4096e1271efa466c25f6d26	4232371	released
8fc960d3-49e0-40c9-b546-2277b9c50798	11f2566c-0e5f-45da-9ca1-a515f565d851.rna_seq.augmented_star_gene_counts.tsv	52abcffb8d3bad6836bef1a411bab1b5	4229358	released
2f2637d0-41b9-4fd0-97c7-b5bbced0a2ee	7aa23e7c-a223-495b-87e1-7c9d8560a3d6.rna_seq.augmented_star_gene_counts.tsv	71943d1250adb9c2f56370c16a06b26d	4214056	released
4f54e2d1-f3ce-4c1f-9e83-e405e32f2d65	7a9c8d69-54ad-48f0-ad75-c36f935ef976.rna_seq.augmented_star_gene_counts.tsv	d5c1ca70f7ed1a1414118028b98c2bcd	4204447	released
4b3b61f9-f74a-4f2a-bc36-5bb24b320230	1d4a46e6-57d2-48c2-884a-2fe6bbe6c3f8.rna_seq.augmented_star_gene_counts.tsv	f967078af65766102aa1dda39525d434	4218040	released
76554798-1e48-4124-af32-652b6c420bc4	201a12a6-34fc-4be6-a90d-61723c13f791.rna_seq.augmented_star_gene_counts.tsv	394e700cfdf207a49196c542a8fedac2	4214178	released
ae8dd2d7-7dde-4b63-8190-9e07c5af1152	090493cd-b759-429e-b84d-ce27ca66a823.rna_seq.augmented_star_gene_counts.tsv	5c7fdb36faeb3e6465e47e399eb84d70	4222160	released
ef4dad06-93de-41d4-adc9-9d1976d5e205	4805439a-d8c4-436e-b7be-eccd32767220.rna_seq.augmented_star_gene_counts.tsv	457384e85f78e9805b31a18ed0f75079	4322275	released
3e908e69-f861-47e4-840a-9efe90b5af70	7cfd2e86-272c-42d6-a716-c20d8edaaeba.rna_seq.augmented_star_gene_counts.tsv	38a23022c1cdd9c9abf5769210294e3a	4217130	released
9defb557-3a2e-4e11-b746-19c2d8953546	157c0e8a-ce28-405f-b83e-bf181d8b2861.rna_seq.augmented_star_gene_counts.tsv	0081da3c5ef0e62a0c09ba9b6d784c95	4291961	released
da3ece79-dc51-4945-bd81-b0ecbc2586dc	e1473ad0-a920-418a-b392-ca13fe39ad04.rna_seq.augmented_star_gene_counts.tsv	9fc45334ccec04694f07e79374dabaec	4224134	released
0ae75cd0-676b-4955-89db-d8787e559b30	3fe61cff-1477-42e4-b844-f680085f1b2c.rna_seq.augmented_star_gene_counts.tsv	9d6c859d548c0b91c5f6334a99c2eed4	4226050	released
c521a280-4a1b-4545-b18a-163230600250	6d61d1e3-aaa3-443d-888b-071c45511fe8.rna_seq.augmented_star_gene_counts.tsv	b133d418e82a2e8604f62e24a6490002	4213698	released
34cdeab9-9d0b-4db3-9b59-2693d7199797	b90edf75-e414-49f7-ae8f-b7385a556d74.rna_seq.augmented_star_gene_counts.tsv	8d699661be5b23b629c6b5f101f84cf3	4226571	released
92543ba2-8ac6-497a-9478-da3d4d0ea29c	dba07f37-0aaa-45a7-aba4-6d4826470e95.rna_seq.augmented_star_gene_counts.tsv	4e737f279773823f2aff7d812b621049	4218629	released
5354846b-5b8b-4088-af6e-3f01b0f57020	a16093da-001f-4312-847b-54eb178ffd49.rna_seq.augmented_star_gene_counts.tsv	095c5c49ac5ffb5deea1f468c6b801e4	4206713	released
25aeee79-fb8b-4295-81f6-930ea2b08078	d5f71abc-65ce-49cf-9695-bc77fce69a07.rna_seq.augmented_star_gene_counts.tsv	fa334987e3f43b7b97b75444d9859ee1	4231097	released
475c3a98-14cf-47a1-b1c8-24038c984537	58dd7c22-c51c-4c2f-8338-e33b98f0c8cf.rna_seq.augmented_star_gene_counts.tsv	f1f9a5b491424c0095f114ba1f3b4508	4233956	released
640ec880-4d35-448d-89eb-a69d61d97ec0	64bee2b5-f807-49c2-b971-a5287d07a9c9.rna_seq.augmented_star_gene_counts.tsv	69a654bde1c0fd6211a023d8441414ce	4232745	released
