id	filename	md5	size	state
77357bf2-090b-4de1-b346-86004b203caa	caf3f958-b9b4-41fe-9958-603ff319b344.rna_seq.augmented_star_gene_counts.tsv	6cc2f2d34e49f4151669f0ee5f2877e2	4206122	released
fb6f743e-59c2-4ed9-a78d-8f706d028ac6	7cfa6300-7118-4c32-9883-878a44e96b94.rna_seq.augmented_star_gene_counts.tsv	283e7f07bbf2d0e7a3cd4fa0f8be56fb	4194641	released
f05ceda5-e349-4c67-9d72-0e60bb67fb25	adab4398-899d-4a94-bac5-f7fcd4ed68a9.rna_seq.augmented_star_gene_counts.tsv	9555ec84d42e43679eed22e75262b64d	4200112	released
09a6d80f-7c96-403e-9aee-a571cdfd57ee	8fbce7b5-4c4c-4d4a-b388-77a91f04f956.rna_seq.augmented_star_gene_counts.tsv	cab99fadeb0df503ca5e31954710d7fb	4197687	released
4b4546c9-7c82-4017-8390-25bd1032436a	d081835c-4eee-4cf3-9fb2-b6d8ce1f1dbd.rna_seq.augmented_star_gene_counts.tsv	f638f8f9b7440180004f33b1f00dde41	4201865	released
0872a9cd-7dbd-4de8-b4c0-79276c8deeda	c187e9b5-4305-4018-bd15-a3e51a1cb56b.rna_seq.augmented_star_gene_counts.tsv	78f2ce913721eaa9f119dea3d37ef0ef	4205604	released
820ccf42-fd8b-4a92-a2f4-bdc4dc849235	3391cde8-533d-46a4-a14b-56f8873243e5.rna_seq.augmented_star_gene_counts.tsv	a3528634f448233a7b2c82431a8ad70a	4194192	released
a59bda00-f219-4446-a83f-9a819ff3ccc1	f46ee734-bee6-4bb5-99e4-4ead528339f7.rna_seq.augmented_star_gene_counts.tsv	ac6116ac8d0391806c6455f404ce293b	4219029	released
908827c3-886c-4f94-b2c3-c726ecb13401	0005499d-48e3-4ce7-9003-0885d9006d62.rna_seq.augmented_star_gene_counts.tsv	9e229fe25fc518ebd8487a2d44aaa549	4202800	released
8a8f6ebf-d86f-472a-81aa-3b32888e07dc	c64866b9-966b-4ffe-aded-531ec0ff3188.rna_seq.augmented_star_gene_counts.tsv	841a91d412c5efd1b209b0cb3e30daae	4200772	released
26ebf352-040f-4439-b505-650673ef6b51	e2d62f7a-9d88-4de2-b5d5-bd065d72c7e8.rna_seq.augmented_star_gene_counts.tsv	86c468b1951ba32806e43323c7ad3b5d	4204423	released
